game_status,dealer_total,dealer_cards,player_name,player_total,player_cards,player_wager,player_balance,running_count,deck_remaining_percent,true_count,remaining_cards
Tie,20,jack 10 ,player1,20,queen king ,100,-500,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
player wins,20,jack 10 ,computer,21,4 2 5 king ,100,1100,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
Tie,20,jack 10 ,player1,20,queen king ,100,-500,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
player wins,20,jack 10 ,computer,21,4 2 5 king ,100,1200,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
Tie,20,jack 10 ,player1,20,queen king ,100,-500,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
player wins,20,jack 10 ,computer,21,4 2 5 king ,100,1300,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
Tie,20,jack 10 ,player1,20,queen king ,100,-500,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
player wins,20,jack 10 ,computer,21,4 2 5 king ,100,1400,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
Tie,20,jack 10 ,player1,20,queen king ,100,-500,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
player wins,20,jack 10 ,computer,21,4 2 5 king ,100,1500,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
